tracklet_id,local_track_id,source_gid,final_gid,start_frame,end_frame,entry_side,exit_side,motion_dx,motion_dy,median_h_ratio,median_aspect,quality,num_rows,num_clean_embeds,clean_embed_count,upper_topk_count,lower_topk_count
1,1,1,77,9,253,center,center,-0.6712778210639954,0.7412058115005493,0.19988380372524261,0.9499701261520386,1.0,245,10,10,8,8
3,2,2,78,9,13,center,center,-0.33418744802474976,0.9425066709518433,0.2235049158334732,0.5324693322181702,0.8906507775756908,5,2,2,2,2
4,3,3,79,9,14,center,center,-0.9944964647293091,-0.10477042943239212,0.2746433913707733,0.4327440857887268,0.8348674983603146,6,2,2,2,2
5,4,4,80,9,12,center,center,0.07561439275741577,-0.9971371293067932,0.2386147677898407,0.5809447765350342,0.9428245333627279,4,2,2,2,2
6,5,5,81,9,895,center,center,-0.8430655002593994,-0.5378108024597168,0.25078314542770386,0.4562075734138489,0.926268899728101,887,10,10,8,8
10,6,6,87,32,51,center,right,0.49637365341186523,0.8681089878082275,0.21712666749954224,0.8658497333526611,0.9558148977038712,20,7,7,7,7
13,7,7,83,36,50,center,center,-0.9053151607513428,0.42474034428596497,0.291178822517395,0.32822325825691223,0.9122778191137566,15,5,5,5,5
14,8,8,84,42,62,right,right,-0.8055408000946045,0.5925402045249939,0.15664860606193542,0.5247236490249634,0.46382332510550517,21,7,7,7,7
11,6,6,85,54,59,right,right,-0.9025118350982666,0.4306650459766388,0.20370015501976013,1.0443233251571655,0.9879511150908775,6,2,2,2,2
16,9,9,86,63,70,center,center,0.9998723864555359,-0.015977364033460617,0.21582527458667755,0.4915904998779297,0.8346314361650009,8,3,3,3,3
15,8,8,84,65,65,right,right,0.0,0.0,0.14608249068260193,0.5468337535858154,0.7263617908583186,1,1,1,1,1
12,6,6,87,70,133,right,center,-0.07833731174468994,-0.9969269037246704,0.17694418132305145,1.0408072471618652,0.9776171373000022,63,10,10,8,8
17,9,9,88,99,101,right,right,-0.9998201727867126,-0.018963590264320374,0.18766368925571442,0.9617392420768738,0.7592870462228101,3,1,1,1,1
18,11,11,89,118,123,center,center,-0.9860108494758606,-0.16668103635311127,0.20731818675994873,0.5479850769042969,0.8627245921516754,6,2,2,2,2
19,12,12,90,169,213,center,center,0.2751956284046173,0.9613882899284363,0.18200601637363434,1.0077433586120605,0.9626787206973839,45,10,10,8,8
23,13,13,91,171,179,right,right,-0.9337109923362732,-0.35802769660949707,0.2595270872116089,0.2601458728313446,0.489505787037037,8,3,3,3,3
24,13,13,91,192,200,right,right,0.33440983295440674,0.9424277544021606,0.258884072303772,0.2641057074069977,0.49016785163139326,9,3,3,3,3
25,13,13,91,214,285,right,right,0.3751043379306793,-0.926982581615448,0.25743573904037476,0.26400986313819885,0.4895358647027483,71,10,10,8,8
20,12,12,90,222,229,center,center,-0.3860171139240265,-0.9224916100502014,0.17554686963558197,1.0622508525848389,0.9519586364638449,8,3,3,3,3
21,12,12,90,234,237,center,center,0.9971697926521301,0.07518249750137329,0.18287216126918793,0.8145159482955933,0.9390798955577602,4,2,2,2,2
2,1,1,94,258,679,center,center,-0.24559396505355835,0.9693727493286133,0.31887778639793396,0.6109891533851624,1.0,422,10,10,8,8
22,12,12,90,266,272,center,center,-0.762705385684967,-0.6467459797859192,0.19040143489837646,1.0252454280853271,0.9728475437242798,5,2,2,2,2
26,15,15,84,274,277,right,right,0.9656135439872742,-0.25998181104660034,0.1720927357673645,0.44222915172576904,0.4576003247170782,4,2,2,2,2
27,15,15,84,280,285,right,right,-1.0,-0.0003565909864846617,0.1740299016237259,0.37098902463912964,0.4474166322200176,5,1,1,1,1
28,16,16,84,457,491,right,right,0.8851378560066223,-0.46532902121543884,0.15580406785011292,0.4346770644187927,0.44550572158840385,35,10,10,8,8
31,17,17,96,499,613,center,center,-0.16301631927490234,0.9866234064102173,0.17378172278404236,1.063870906829834,0.9589590567129631,115,10,10,8,8
29,16,16,84,519,519,right,right,0.0,0.0,0.18945246934890747,0.45923978090286255,0.4826858098177542,1,1,1,1,1
30,16,16,84,536,539,right,right,0.5382068753242493,0.8428127765655518,0.16273994743824005,0.4843645691871643,0.4619375597075249,4,2,2,2,2
45,18,18,94,686,895,center,center,0.33761802315711975,-0.9412831664085388,0.29471340775489807,0.5168215036392212,1.0,210,10,10,8,8
48,19,19,97,746,760,center,center,0.9555189609527588,-0.2949294447898865,0.21151810884475708,0.540125846862793,0.8015039873490366,15,5,5,5,5
7,5,5,81,908,1192,center,center,0.8644642233848572,0.5026945471763611,0.21797801554203033,0.47616907954216003,0.8994779238117528,285,10,10,8,8
46,18,18,94,908,1291,center,center,-0.5090537071228027,0.860734760761261,0.30242523550987244,0.45833781361579895,1.0,384,10,10,8,8
32,17,17,96,1130,1135,center,center,-0.9574486613273621,-0.28860369324684143,0.18428850173950195,1.0868091583251953,0.9946379197898295,5,2,2,2,2
33,17,17,96,1148,1213,center,center,0.8431357741355896,0.5377007722854614,0.17417113482952118,1.072808861732483,0.9643823715828924,64,10,10,8,8
49,21,21,100,1163,1164,right,right,-0.9224891662597656,-0.38602304458618164,0.14178669452667236,0.727047324180603,0.45960787542254555,2,1,1,1,1
50,22,22,86,1172,1189,center,center,-0.5569760799407959,-0.8305286169052124,0.2686730623245239,0.49241071939468384,0.9577708050864366,18,6,6,6,6
53,23,23,101,1184,1211,center,center,0.778800368309021,0.6272718906402588,0.25460344552993774,0.48095449805259705,0.9649298578653628,28,10,10,8,8
51,22,22,86,1192,1192,center,center,0.0,0.0,0.17738240957260132,0.5972064733505249,0.7405851289538005,1,1,1,1,1
8,5,5,102,1196,1234,center,right,0.7498024106025696,0.6616619229316711,0.2808694541454315,0.6616700291633606,0.9871707658462785,37,10,10,8,8
52,22,22,86,1199,1206,center,center,0.37712886929512024,-0.9261608123779297,0.2725209593772888,0.39446961879730225,0.8264787605117236,8,3,3,3,3
34,17,17,96,1218,1228,center,center,-0.5233840942382812,0.8520968556404114,0.1757550686597824,1.062385082244873,0.9312221070993013,11,4,4,4,4
54,24,24,81,1237,1460,center,center,-0.9369125962257385,-0.3495636284351349,0.2623453438282013,0.5743318796157837,0.9994619163834011,224,10,10,8,8
9,5,5,104,1238,1238,right,right,0.0,0.0,0.21614031493663788,0.34615442156791687,0.4803863811728395,1,1,1,1,1
35,17,17,96,1238,1262,center,center,0.9757867455482483,0.21872422099113464,0.17574769258499146,1.0735235214233398,0.9390907987858825,24,8,8,8,8
56,25,25,106,1239,1239,center,center,0.0,0.0,0.27456361055374146,0.4791085422039032,0.9202679155152333,1,1,1,1,1
36,17,17,96,1268,1268,center,center,0.0,0.0,0.1785629391670227,1.0624600648880005,0.9322822504109234,1,1,1,1,1
37,17,17,96,1271,1277,center,center,0.5733652710914612,-0.8192999362945557,0.17186354100704193,1.0954805612564087,0.9177730160613669,6,2,2,2,2
38,17,17,96,1281,1281,center,center,0.0,0.0,0.17299354076385498,1.0874446630477905,0.9061890731779987,1,1,1,1,1
39,17,17,96,1284,1291,center,center,-0.861027181148529,-0.5085588693618774,0.1758379489183426,1.0612213611602783,0.9462882916725613,8,3,3,3,3
47,18,18,94,1294,1379,center,center,0.6645667552947998,0.7472289204597473,0.3010728061199188,0.615013599395752,1.0,86,10,10,8,8
57,26,26,111,1299,1299,center,center,0.0,0.0,0.2926289439201355,0.5548867583274841,0.9494328271520147,1,1,1,1,1
40,17,17,96,1304,1339,center,center,-0.6124030351638794,-0.7905457019805908,0.1773681640625,1.0558401346206665,0.9609601124942421,35,10,10,8,8
58,26,26,113,1312,1352,center,right,0.5808428525924683,0.8140156865119934,0.2625060975551605,0.664057195186615,0.9945876050843022,41,10,10,8,8
59,27,27,114,1354,1391,center,center,0.1613440066576004,-0.9868982434272766,0.33197054266929626,0.6411722898483276,1.0,38,10,10,8,8
60,27,27,115,1394,1398,left,left,-0.17689450085163116,-0.9842298030853271,0.3249797821044922,0.6300652623176575,1.0,5,2,2,2,2
61,28,28,116,1423,1454,center,center,-0.8929058909416199,-0.45024335384368896,0.2789267897605896,0.6316046714782715,0.9954548275282441,32,10,10,8,8
55,24,24,84,1464,1467,center,center,-0.9771599173545837,0.21250517666339874,0.23096045851707458,0.47929275035858154,0.9044179549713404,4,2,2,2,2
62,29,29,117,1469,1486,right,center,-0.9619448781013489,-0.2732434570789337,0.2831268310546875,0.564565896987915,0.9966043610630924,18,6,6,6,6
